CIF file,Number of atoms in supercell
452070.cif,120
1020480.cif,120
1933533.cif,120
Nd5Si3 2.cif,662
AlGd.cif,313
1014320.cif,120
1964907.cif,120
555454.cif,120
1817255.cif,120
1149582.cif,120
1024034.cif,120
454210.cif,120
250211.cif,120
1831327.cif,120
261634.cif,120
1933445.cif,120
1627940.cif,120
250002.cif,120
1965730 copy.cif,120
1054688.cif,120
1244345.cif,120
458215.cif,120
URhIn.cif,206
ThSb copy.cif,62
458214.cif,120
RhSb2.cif,180
528478.cif,120
261237.cif,120
250001.cif,120
1950873.cif,120
455849.cif,120
1242657.cif,120
Al3Ni.cif,272
456372.cif,120
455848.cif,120
1014319.cif,120
URhIn copy.cif,206
1024033.cif,120
1817278.cif,120
1950626.cif,120
HoPt 2.cif,152
URhIn 2.cif,206
534341.cif,120
531985.cif,120
555219.cif,120
1821431.cif,120
1242657 copy.cif,120
1239069.cif,120
1950625.cif,120
1537343.cif,120
250139.cif,464
251582.cif,120
1950626 copy.cif,120
HoPt.cif,152
1537959.cif,120
ThOs2.cif,642
250539.cif,120
534804.cif,120
1961204.cif,120
1961205.cif,120
533830.cif,120
ThOs2 copy.cif,642
1929731.cif,120
250538.cif,120
1932065.cif,120
HoPt copy.cif,152
1537344.cif,120
1828376.cif,120
452611.cif,120
527265.cif,120
383222.cif,120
455371.cif,120
454537.cif,120
558457.cif,120
1826236.cif,120
250536.cif,120
1942834.cif,120
1962500.cif,120
1932322.cif,120
1826343.cif,120
558456.cif,120
455158.cif,120
381032.cif,120
1962503.cif,120
311838.cif,120
1962502.cif,120
1633740.cif,120
1633581.cif,120
530666.cif,120
1622249.cif,120
250685.cif,120
1965730.cif,120
1235070.cif,120
1622248.cif,120
RhSb2 copy.cif,180
1965691.cif,120
ThSb.cif,62
1942834 copy.cif,120
1822134.cif,120
261116.cif,120
1822518.cif,120
1924155.cif,120
458686.cif,120
1923821.cif,120
250192.cif,120
1244345 copy.cif,120
261616.cif,120
558347.cif,120
1014315.cif,120
534506.cif,120
1212325.cif,120
1822151.cif,120
1965540.cif,120
261615.cif,120
261239.cif,120
530577.cif,120
1129087.cif,120
1932226.cif,120
454220.cif,120
261822.cif,120
528506.cif,120
250631.cif,120
548224.cif,120
528507.cif,120
1950625 copy.cif,120
1931706.cif,120
454209.cif,120
Nd5Si3.cif,662
1049599.cif,120
Nd5Si3 copy.cif,662
454223.cif,120
528505.cif,120
250140.cif,642
Al3Ni copy.cif,272
1965988.cif,120
250141.cif,148
534663.cif,120
1933648.cif,120
